rank,year,duration,age_limit,rating,numberof_ratings,Metascore,storyline,movie_name,processed_storyline
487,2001,2h 27m,15,7.9,(386K),87.0,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.", Mulholland Drive,after a car wreck on mulholland drive renders a woman amnesiac she and a hollywoodhopeful search for clues and answers across los angeles in a twisting venture beyond dreams and reality
488,2006,1h 49m,15,7.9,(532K),84.0,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.", Children of Men,in in a chaotic world in which women have somehow become infertile a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea
489,1993,1h 59m,18,7.9,(244K),59.0,"In Detroit, a pop-culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple.", True Romance,in detroit a popculture nerd steals cocaine from his new wifes pimp and tries to sell it in hollywood prompting the mobsters who own the drugs to pursue the couple
490,2001,1h 30m,U,7.9,(739K),84.0,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.", Shrek,a mean lord exiles fairytale creatures to the swamp of a grumpy ogre who must go on a quest and rescue a princess for the lord in order to get his land back
491,2014,1h 53m,12A,7.9,(742K),71.0,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.", Edge of Tomorrow,a soldier fighting aliens gets to relive the same day over and over again the day restarting every time he dies
492,2000,2h 2m,15,7.9,(295K),90.0,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour., Almost Famous,a highschool boy in the early s is given the chance to write a story for rolling stone magazine about an upandcoming rock band as he accompanies them on their concert tour
493,2009,2h 7m,12A,7.9,(622K),82.0,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time., Star Trek,the brash james t kirk tries to live up to his fathers legacy with mr spock keeping him in check as a vengeful romulan from the future creates black holes to destroy the federation one planet at a time
494,1987,2h 8m,PG,7.9,(78K),79.0,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.", Wings of Desire,an angel tires of his purely ethereal life of merely overseeing the human activity of berlins residents and longs for the tangible joys of physical existence when he falls in love with a mortal
495,2014,2h 45m,15,7.9,(368K),100.0,"The life of Mason, from early childhood to his arrival at college.", Boyhood,the life of mason from early childhood to his arrival at college
496,1993,3h,18,7.9,(35K),47.0,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."," Blood In, Blood Out",based on the true life experiences of poet jimmy santiago baca the film focuses on stepbrothers paco and cruz and their biracial cousin miklo
497,2008,1h 47m,18,7.9,(463K),67.0,"After a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.", In Bruges,after a job gone wrong hitman ray and his partner await orders from their ruthless boss in bruges belgium the last place in the world ray wants to be
498,2012,1h 43m,12A,7.9,(551K),67.0,"Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past.", The Perks of Being a Wallflower,charlie a yearold introvert enters high school and is nervous about his new life when he befriends his seniors he learns to cope with his friends suicide and his tumultuous past
499,2014,2h 12m,12A,7.9,(748K),75.0,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants., X-Men: Days of Future Past,the xmen send wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants
500,2019,1h 48m,12A,7.9,(444K),58.0,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home., Jojo Rabbit,a young german boy in the hitler youth whose hero and imaginary friend is the countrys dictator is shocked to discover that his mother is hiding a jewish girl in their home
501,1990,1h 45m,12,7.9,(526K),74.0,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family., Edward Scissorhands,the solitary life of an artificial man who was incompletely constructed and has scissors for hands is upended when he is taken in by a suburban family
502,2018,2h 14m,12A,7.9,(597K),49.0,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).", Bohemian Rhapsody,the story of the legendary british rock band queen and lead singer freddie mercury leading up to their famous performance at live aid
503,2021,4h 2m,15,7.9,(441K),54.0,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.", Zack Snyder's Justice League,determined to ensure that supermans ultimate sacrifice wasnt in vain bruce wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions
504,2003,2h 18m,15,7.9,(488K),84.0,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.", Mystic River,the tragic murder of a yearold girl reunites three childhood friends still living in bostonthe victims gangster father a detective and the disturbed man they both suspect of killing her
505,2004,1h 39m,15,7.9,(597K),76.0,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.", Shaun of the Dead,the uneventful aimless lives of a london electronics salesman and his layabout roommate are disrupted by the zombie apocalypse
506,1980,2h 13m,AA,7.9,(216K),60.0,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.", The Blues Brothers,jake blues rejoins with his brother elwood after being released from prison but the duo has just days to reunite their old rb band and save the catholic home where the two were raised outrunning the police as they tear through chicago
507,2009,1h 52m,15,7.9,(719K),81.0,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology., District 9,violence ensues after an extraterrestrial race forced to live in slumlike conditions on earth finds a kindred spirit in a government agent exposed to their biotechnology
508,1960,3h 17m,PG,7.9,(144K),87.0,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.", Spartacus,the slave spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent roman republic as the ambitious crassus seeks to gain power by crushing the uprising
509,1999,1h 32m,U,7.9,(623K),88.0,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.", Toy Story 2,when woody is stolen by a toy collector buzz and his friends set out on a rescue mission to save woody before he becomes a museum toy property with his roundup gang jessie prospector and bullseye
510,1993,2h 24m,18,7.9,(233K),66.0,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.", Carlito's Way,a puerto rican former convict just released from prison pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of nyc
511,2013,1h 49m,15,7.9,(173K),94.0,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna., Before Midnight,we meet jesse and celine nine years on in greece almost two decades have passed since their first meeting on that train bound for vienna
512,2013,1h 57m,15,7.9,(521K),77.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.", Dallas Buyers Club,in dallas electrician and hustler ron woodroof works around the system to help aids patients get the medication they need after he is diagnosed with the disease
513,2009,1h 27m,PG,7.9,(272K),83.0,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation., Fantastic Mr,an urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers retaliation
514,2012,2h 7m,PG,7.9,(669K),79.0,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.", Life of Pi,a young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery while cast away he forms an unexpected connection with another survivor a fearsome bengal tiger
515,2000,2h,12,7.9,(282K),94.0,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.," Crouching Tiger, Hidden Dragon",a young chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation
516,1984,1h 22m,15,7.9,(148K),92.0,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.", This Is Spinal Tap,spinal tap one of englands loudest bands is chronicled by film director marty dibergi on what proves to be a fateful tour
517,1944,1h 28m,PG,7.9,(52K),,A police detective falls in love with the woman whose murder he is investigating., Laura,a police detective falls in love with the woman whose murder he is investigating
518,2019,2h 17m,15,7.9,(348K),94.0,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together., Marriage Story,noah baumbachs incisive and compassionate look at a marriage breaking up and a family staying together
519,1995,1h 23m,15,7.9,(158K),76.0,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master., Ghost in the Shell,a cyborg policewoman and her partner hunt a mysterious and powerful hacker called the puppet master
520,1948,1h 20m,PG,7.9,(155K),73.0,Two men try to convince themselves they've committed the perfect murder by hosting a dinner party after strangling a former classmate to death., Rope,two men try to convince themselves theyve committed the perfect murder by hosting a dinner party after strangling a former classmate to death
521,1964,1h 39m,15,7.9,(234K),65.0,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.", A Fistful of Dollars,a wandering gunfighter plays two rival families against each other in a town torn apart by greed pride and revenge
522,1945,1h 41m,PG,7.9,(40K),,The desperate life of a chronic alcoholic is followed through a four-day drinking bout., The Lost Weekend,the desperate life of a chronic alcoholic is followed through a fourday drinking bout
523,2016,1h 46m,12A,7.9,(102K),79.0,"A young lad notices a beautiful girl who begins to occupy his thoughts. While struggling with poverty, personal relationships and life's woes, he starts a band, hoping to catch her attention.", Sing Street,a young lad notices a beautiful girl who begins to occupy his thoughts while struggling with poverty personal relationships and lifes woes he starts a band hoping to catch her attention
524,1956,3h 40m,U,7.9,(78K),,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.", The Ten Commandments,moses raised as a prince of egypt in the pharaohs household learns of his true heritage as a hebrew and his divine mission as the deliverer of his people from slavery
525,1993,1h 16m,PG,7.9,(377K),82.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.", The Nightmare Before Christmas,jack skellington king of halloween town discovers christmas town but his attempts to bring christmas to his home causes confusion
526,1922,1h 34m,PG,7.9,(106K),,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife., Nosferatu,vampire count orlok expresses interest in a new residence and real estate agent hutters wife
527,2008,1h 49m,15,7.9,(321K),80.0,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.", The Wrestler,a faded professional wrestler must retire but finds his quest for a new life outside the ring a dispiriting struggle
528,2011,1h 40m,PG,7.9,(249K),89.0,"When George, a silent movie superstar, meets Peppy Miller, a dancer, sparks fly between the two. However, after the introduction of talking pictures, their fortunes change, affecting their dynamic.", The Artist,when george a silent movie superstar meets peppy miller a dancer sparks fly between the two however after the introduction of talking pictures their fortunes change affecting their dynamic
529,1969,2h 25m,18,7.9,(91K),98.0,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.", The Wild Bunch,an aging group of outlaws look for one last big score as the traditional american west is disappearing around them
530,1967,1h 50m,A,7.9,(84K),76.0,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.", In the Heat of the Night,a black philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile mississippi town and after being cleared is reluctantly asked by the police chief to investigate the case
531,1972,2h 47m,PG,7.9,(99K),93.0,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane., Solaris,a psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane
532,1976,2h 18m,AA,7.9,(127K),84.0,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.", All the President's Men,the washington post reporters bob woodward and carl bernstein uncover the details of the watergate scandal that leads to president richard nixons resignation
533,2018,2h 1m,15,7.9,(87K),93.0,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence.", Shoplifters,on the margins of tokyo a dysfunctional band of outsiders are united by loyalty a penchant for petty theft and playful grifting when the young son is arrested secrets are exposed that upend their tenuous belowtheradar existence
534,1951,1h 41m,PG,7.9,(142K),88.0,A psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person., Strangers on a Train,a psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the others mosthated person
535,1941,1h 40m,PG,7.9,(167K),97.0,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.", The Maltese Falcon,san francisco private detective sam spade takes on a case that involves him with three eccentric criminals a gorgeous liar and their quest for a priceless statuette with the stakes rising after his partner is murdered
536,1951,2h 2m,X,7.9,(115K),97.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her., A Streetcar Named Desire,disturbed blanche dubois moves in with her sister in new orleans and is tormented by her brutish brotherinlaw while her reality crumbles around her
537,2000,2h 20m,15,7.9,(117K),63.0,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision., Dancer in the Dark,an eastern european us immigrant with a love for musicals has to cope with the gradual loss of her vision
538,1965,3h 13m,PG,7.9,(82K),69.0,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.", Doctor Zhivago,the life of a russian physician and poet who although married to another falls in love with a political activists wife and experiences hardship during world war i and then the october revolution
539,1970,2h 52m,PG,7.9,(108K),86.0,The World War II phase of the career of controversial American general George S. Patton., Patton,the world war ii phase of the career of controversial american general george s patton
540,1962,2h 6m,12A,7.9,(80K),94.0,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy., The Manchurian Candidate,an american pow in the korean war is brainwashed as an unwitting assassin for an international communist conspiracy
541,1933,1h 40m,PG,7.9,(91K),92.0,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.", King Kong,a film crew goes to a tropical island for a location shoot where they capture a colossal ape who takes a shine to their blonde starlet and bring him back to new york city
542,2014,2h 30m,18,7.9,(132K),71.0,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.", The Raid 2,only a short time after the first raid rama goes undercover with the thugs of jakarta and plans to bring down the syndicate and uncover the corruption within his police force
543,2002,2h,12A,7.9,(188K),85.0,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.", Hero,a defense officer nameless was summoned by the king of qin regarding his success of terminating three warriors
544,1979,2h 10m,AA,7.9,(78K),83.0,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics.", Being There,after the death of his employer forces him out of the only home hes ever known a simpleminded sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in washington politics
545,1971,1h 31m,AA,7.9,(82K),62.0,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.", Harold and Maude,young rich and obsessed with death harold finds himself changed forever when he meets lively septuagenarian maude at a funeral
546,1983,1h 33m,PG,7.9,(169K),77.0,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.", A Christmas Story,in the s a young boy named ralphie parker attempts to convince his parents teacher and santa claus that a red ryder range shot bb gun really is the perfect christmas gift
547,1968,2h 14m,A,7.9,(34K),,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.", The Lion in Winter,ad king henry iis three sons all want to inherit the throne but he wont commit to a choice when he allows his imprisoned wife eleanor of aquitaine out for a christmas visit they all variously plot to force him into a decision
548,1963,3h 6m,PG,7.9,(29K),100.0,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily.", The Leopard,the prince of salina a noble aristocrat of impeccable integrity tries to preserve his family and class amid the tumultuous social upheavals of s sicily
549,2002,1h 52m,15,7.9,(118K),86.0,Two men share an odd friendship while they care for two women who are both in deep comas., Talk to Her,two men share an odd friendship while they care for two women who are both in deep comas
550,1946,1h 42m,A,7.9,(108K),100.0,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?, Notorious,the daughter of a convicted german spy is asked by american agents to gather information on a ring of german scientists in south america how far will she have to go to ingratiate herself with them
551,1956,1h 24m,PG,7.9,(98K),91.0,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery., The Killing,crook johnny clay assembles a fiveman team to plan and execute a daring racetrack robbery
552,1994,1h 42m,18,7.9,(37K),77.0,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts., Once Were Warriors,a family descended from maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts
553,1946,1h 54m,PG,7.9,(91K),86.0,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.", The Big Sleep,private detective philip marlowe is hired by a wealthy family before the complex case is over hes seen murder blackmail and what might be love
554,1940,1h 52m,A,7.9,(74K),96.0,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.", The Philadelphia Story,when a rich womans exhusband and a tabloidtype reporter turn up just before her planned remarriage she begins to learn the truth about herself
555,1950,1h 34m,PG,7.9,(36K),,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.", In a Lonely Place,a potentially violent screenwriter is a murder suspect until his lovely neighbor clears him however she soon starts to have her doubts
556,2017,2h 17m,15,7.9,(32K),69.0,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.", A Taxi Driver,a widowed father and taxi driver who drives a german reporter from seoul to gwangju to cover the uprising soon finds himself regretting his decision after being caught in the violence around him
557,2019,1h 53m,PG,7.9,(56K),69.0,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.", Togo,the story of togo the sled dog who led the serum run despite being considered too small and weak to lead such an intense race
558,2015,2h 39m,15,7.9,(138K),,"A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler.", Baahubali: The Beginning,a child from the mahishmati kingdom is raised by tribal people and one day learns about his royal heritage his fathers bravery in battle and a mission to overthrow the incumbent ruler
559,1975,1h 47m,U,7.9,(53K),82.0,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.", Mirror,a dying man in his forties remembers his past his childhood his mother the war personal moments and things that tell of the recent history of all the russian nation
560,2013,1h 36m,15,7.9,(92K),82.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend., Short Term 12,a something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her coworker and longtime boyfriend
561,1958,1h 48m,PG,7.9,(54K),84.0,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son., Cat on a Hot Tin Roof,brick is an alcoholic exfootball player who drinks his days away and resists the affections of his wife a reunion with his terminal father jogs a host of memories and revelations for both father and son
562,1938,1h 42m,U,7.9,(55K),97.0,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.", The Adventures of Robin Hood,when prince john and the norman lords begin oppressing the saxon masses in king richards absence in s england a saxon lord fights back as the outlaw leader of a resistance movement
563,1950,1h 44m,U,7.9,(58K),,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.", Harvey,due to his insistence that he has an invisible six foottall rabbit for a best friend a whimsical middleaged man is thought by his family to be insane but he may be wiser than anyone knows
564,1970,1h 53m,X,7.9,(34K),100.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.", The Conformist,a weakwilled italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher now a political dissident
565,1944,1h 58m,PG,7.9,(75K),,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers., Arsenic and Old Lace,a brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers
566,2012,2h 7m,12A,7.9,(106K),95.0,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.", Amour,georges and anne are an octogenarian couple they are cultivated retired music teachers their daughter also a musician lives in britain with her family one day anne has a stroke and the couples bond of love is severely tested
567,2010,2h 45m,12A,7.9,(117K),50.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey., My Name Is Khan,an indian muslim man with aspergers syndrome takes a challenge to speak to the president of the united states seriously and embarks on a crosscountry journey
568,2003,3h 6m,12A,7.9,(76K),54.0,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.", Kal Ho Naa Ho,naina an introverted perpetually depressed girls life changes when she meets aman but aman has a secret of his own which changes their lives forever embroiled in all this is rohit nainas best friend who conceals his love for her
569,1967,2h 14m,X,7.9,(29K),89.0,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.", In Cold Blood,two excons murder a family in a robbery attempt before going on the run from the authorities the police try to piece together the details of the murder in an attempt to track down the killers
570,1980,3h,PG,7.9,(38K),84.0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place., Kagemusha,a petty thief with an utter resemblance to a samurai warlord is hired as the lords double when the warlord later dies the thief is forced to take up arms in his place
571,1986,2h 29m,PG,7.9,(31K),,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.", The Sacrifice,at the dawn of world war iii a man searches for a way to restore peace to the world and finds he must give something in return
572,1953,1h 29m,X,7.9,(29K),,Tough cop Dave Bannion takes on a politically powerful crime syndicate., The Big Heat,tough cop dave bannion takes on a politically powerful crime syndicate
573,1983,2h 5m,15,7.9,(30K),74.0,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.", Nostalgia,a russian poet and his interpreter travel to italy researching the life of an thcentury composer and instead meet a ruminative madman who tells the poet how the world may be saved
574,1934,1h 31m,PG,7.9,(33K),86.0,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.", The Thin Man,former detective nick charles and his wealthy wife nora investigate a murder case mostly for the fun of it
575,1945,1h 51m,PG,7.9,(29K),88.0,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter., Mildred Pierce,a hardworking mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter
576,2004,2h 1m,18,7.9,(58K),78.0,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.", Head-On,with the intention to break free from the strict familial restrictions a suicidal young woman sets up a marriage of convenience with a fortyyearold addict an act that will lead to an outburst of envious love
577,1941,1h 30m,PG,7.9,(29K),,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie., Sullivan's Travels,hollywood director john l sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie
578,1970,2h 20m,PG,7.9,(28K),92.0,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.", The Red Circle,after leaving prison master thief corey crosses paths with a notorious escapee and an alcoholic former policeman the trio proceed to plot an elaborate heist
579,1947,1h 36m,U,7.9,(55K),88.0,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.", Miracle on 34th Street,after a divorced new york mother hires a nice old man to play santa claus at macys she is startled by his claim to be the genuine article when his sanity is questioned a lawyer defends him in court by arguing that hes not mistaken
580,1936,1h 34m,A,7.9,(27K),82.0,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye., My Man Godfrey,a scatterbrained socialite hires a vagrant as a family butler but theres more to godfrey than meets the eye
581,2014,1h 36m,12A,7.9,(28K),71.0,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel.", The Way He Looks,leonardo is a blind teenager searching for independence his everyday life the relationship with his best friend giovana and the way he sees the world change completely with the arrival of gabriel
582,1958,1h 31m,PG,7.9,(29K),94.0,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.", Lift to the Scaffold,a selfassured businessman murders his employer the husband of his mistress which unintentionally provokes an illfated chain of events
583,1925,1h 15m,PG,7.9,(62K),97.0,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.", Battleship Potemkin,in the midst of the russian revolution of the crew of the battleship potemkin mutiny against the brutal tyrannical regime of the vessels officers the resulting street demonstration in odessa brings on a police massacre
584,2001,1h 38m,15,7.9,(49K),84.0,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.", No Man's Land,bosnia and herzegovina during at the time of the heaviest fighting between the two warring sides two soldiers from opposing sides in the conflict nino and ciki become trapped in no mans land whilst a third soldier becomes a living booby trap
585,2000,1h 54m,15,7.9,(57K),80.0,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").", Nine Queens,two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps the nine queens
586,2009,1h 59m,12A,7.9,(57K),87.0,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers., About Elly,the mysterious disappearance of a kindergarten teacher during a picnic in the north of iran is followed by a series of misadventures for her fellow travelers
587,2019,2h 34m,12A,7.9,(44K),65.0,A coming-of-age story based on the lives of street rappers in Mumbai., Gully Boy,a comingofage story based on the lives of street rappers in mumbai
588,2003,1h 50m,12,7.9,(48K),82.0,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.", The Return,in the russian wilderness two brothers face a range of new conflicting emotions when their father a man they know only through a single photograph resurfaces
589,2004,1h 28m,15,7.9,(59K),72.0,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days., 3-Iron,a transient young man breaks into empty homes to partake of the vacationing residents lives for a few days
